,Departamento,Municipio,aguacate,arroz,cafe,cebollaC,papa
427,Valle del Cauca,Tuluá,Aptitud alta,"No apta,Aptitud baja",No apta,No apta,No apta
428,Valle del Cauca,Trujillo,No apta,Exclusión legal,No apta,No apta,Exclusión legal
429,Tolima,Suárez,Exclusión legal,Exclusión legal,Exclusión legal,"Aptitud alta,Exclusión legal",Exclusión legal
430,Cauca,Suárez,Aptitud media,Exclusión legal,Aptitud alta,No apta,Exclusión legal
431,Tolima,Icononzo,"No apta,Exclusión legal,Aptitud baja",Exclusión legal,Aptitud alta,Exclusión legal,Exclusión legal
432,Tolima,Melgar,No apta,No apta,No apta,No apta,No apta
433,Cundinamarca,Sibaté,No apta,Exclusión legal,Exclusión legal,No apta,No apta
434,Chocó,Litoral del San Juan,No apta,Exclusión legal,Exclusión legal,Exclusión legal,No apta
435,Meta,Cabuyaro,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
436,Cundinamarca,Ubalá,"Aptitud alta,Aptitud media",Exclusión legal,No apta,No apta,No apta
437,Casanare,Tauramena,Exclusión legal,No apta,Exclusión legal,Aptitud alta,Exclusión legal
438,Risaralda,Pueblo Rico,No apta,No apta,"Exclusión legal,Aptitud baja",No apta,No apta
439,Cundinamarca,San Antonio de  Tequendama,Aptitud media,Exclusión legal,No apta,"Aptitud media,No apta",Aptitud media
440,Quindío,Montenegro,Exclusión legal,No apta,No apta,No apta,Exclusión legal
441,Chocó,Atrato (Yuto),No apta,No apta,No apta,No apta,No apta
442,Chocó,Lloró,Exclusión legal,"Aptitud baja,Aptitud media",Exclusión legal,Exclusión legal,Exclusión legal
443,Chocó,Nuquí,No apta,Exclusión legal,Exclusión legal,Exclusión legal,No apta
444,Amazonas,La Victoria (Pacoa),No apta,No apta,No apta,No apta,No apta
445,Boyacá,Soatá,"Aptitud baja,Aptitud alta,Exclusión legal",Exclusión legal,No apta,No apta,No apta
446,Caldas,Chinchiná,Exclusión legal,"No apta,Aptitud media,Aptitud alta",No apta,No apta,Exclusión legal
447,Antioquia,Urrao,No apta,No apta,No apta,"Exclusión legal,Aptitud media",No apta
448,Antioquia,Abriaquí,No apta,No apta,No apta,"Aptitud media,Exclusión legal",No apta
449,Antioquia,Vigía del Fuerte,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal
450,Chocó,Bojayá (Bellavista),Exclusión legal,"No apta,Exclusión legal",Exclusión legal,Exclusión legal,Exclusión legal
451,Antioquia,Uramita,"No apta,Exclusión legal",No apta,No apta,No apta,Exclusión legal
452,Caldas,Villamaría,No apta,No apta,"Exclusión legal,Aptitud media",No apta,Exclusión legal
453,Caldas,Viterbo,Exclusión legal,Aptitud alta,No apta,"No apta,Aptitud media",Exclusión legal
454,Tolima,Herveo,"Aptitud alta,Aptitud baja",Exclusión legal,Aptitud alta,Exclusión legal,Exclusión legal
455,Caldas,Risaralda,No apta,Aptitud alta,No apta,Aptitud media,Exclusión legal
456,Caldas,Anserma,No apta,"Aptitud media,Exclusión legal",No apta,No apta,Exclusión legal
457,Caldas,Manzanares,No apta,Exclusión legal,No apta,No apta,Exclusión legal
458,Caldas,Marulanda,No apta,No apta,No apta,No apta,No apta
459,Boyacá,San Mateo,No apta,Exclusión legal,Aptitud alta,No apta,"Exclusión legal,No apta"
460,Boyacá,Otanche,No apta,No apta,Aptitud alta,No apta,No apta
461,Boyacá,Puerto Boyacá,No apta,No apta,No apta,No apta,No apta
462,Antioquia,Ciudad Bolívar,Aptitud baja,Exclusión legal,No apta,No apta,Exclusión legal
463,Santander,San Miguel,No apta,Exclusión legal,Aptitud alta,Aptitud media,"No apta,Aptitud media"
464,Antioquia,Salgar,Aptitud baja,"Aptitud baja,Aptitud media",No apta,No apta,"No apta,Aptitud baja"
465,Meta,El Castillo,Exclusión legal,Aptitud alta,"Exclusión legal,Aptitud baja","No apta,Aptitud alta",Exclusión legal
466,Meta,El Dorado,Exclusión legal,No apta,"Aptitud baja,Exclusión legal",Exclusión legal,Exclusión legal
467,Antioquia,Santa Fe de Antioquia,Aptitud media,"Aptitud baja,Aptitud media",Aptitud alta,No apta,Aptitud baja
468,Santander,Concepción,No apta,Exclusión legal,No apta,No apta,No apta
469,Antioquia,Concepción,No apta,Exclusión legal,No apta,No apta,Exclusión legal
470,Antioquia,Cañasgordas,"Exclusión legal,Aptitud alta",No apta,No apta,No apta,No apta
471,Antioquia,San Andrés,"Aptitud media,No apta","Exclusión legal,No apta",No apta,"Aptitud baja,Exclusión legal",Aptitud media
472,Santander,San Andrés,"Aptitud baja,Aptitud media",Exclusión legal,Aptitud alta,"Aptitud baja,Aptitud alta",No apta
473,San Andrés Providencia y Santa Catalina,San Andrés,No apta,No apta,No apta,No apta,No apta
474,Santander,Málaga,No apta,Exclusión legal,No apta,"Exclusión legal,Aptitud alta",No apta
475,Boyacá,Chiscas,No apta,No apta,No apta,No apta,No apta
476,Antioquia,Dabeiba,Exclusión legal,Exclusión legal,Aptitud alta,No apta,Exclusión legal
477,Chocó,Juradó,No apta,Aptitud media,Exclusión legal,No apta,No apta
478,Valle del Cauca,Ulloa,"No apta,Aptitud alta",Exclusión legal,No apta,Aptitud media,Exclusión legal
479,Tolima,Santa Isabel,No apta,Exclusión legal,No apta,No apta,"Aptitud alta,Aptitud media"
480,Valle del Cauca,El Águila,No apta,Exclusión legal,No apta,No apta,Exclusión legal
481,Caldas,La Merced,"Aptitud baja,Exclusión legal","No apta,Exclusión legal","Aptitud baja,Aptitud media","Aptitud baja,No apta","Exclusión legal,No apta"
482,Caldas,Supía,Aptitud media,"Aptitud baja,Aptitud alta",Aptitud alta,No apta,Exclusión legal
483,Antioquia,Campamento,No apta,"Aptitud media,Exclusión legal",No apta,No apta,"Aptitud media,Aptitud alta"
484,Antioquia,Peque,Aptitud baja,Exclusión legal,Aptitud alta,Aptitud media,Aptitud baja
485,Antioquia,Yarumal,Aptitud media,Exclusión legal,No apta,Aptitud media,No apta
486,Antioquia,Guatapé,Aptitud alta,"No apta,Exclusión legal",No apta,"No apta,Exclusión legal","No apta,Exclusión legal"
487,Antioquia,San Rafael,Aptitud alta,"Aptitud media,No apta","Aptitud baja,Exclusión legal",Exclusión legal,Exclusión legal
488,Antioquia,San Roque,No apta,No apta,No apta,No apta,No apta
489,Antioquia,Vegachí,Exclusión legal,Aptitud media,Aptitud alta,Aptitud baja,Exclusión legal
490,Antioquia,Remedios,Exclusión legal,Aptitud media,Exclusión legal,No apta,Exclusión legal
491,Antioquia,Yondó (Casabe),Exclusión legal,Aptitud media,Exclusión legal,No apta,Exclusión legal
492,Antioquia,Jardín,Aptitud media,Exclusión legal,No apta,"No apta,Aptitud baja",Aptitud media
493,Antioquia,Caramanta,Aptitud baja,Exclusión legal,Aptitud alta,No apta,"Aptitud media,Exclusión legal"
494,Antioquia,Ituango,Aptitud baja,No apta,No apta,Aptitud baja,No apta
495,Antioquia,Andes,No apta,No apta,No apta,No apta,No apta
496,Antioquia,Mutatá,No apta,No apta,No apta,No apta,No apta
497,Antioquia,Apartadó,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
498,Antioquia,Támesis,"Aptitud baja,Aptitud alta","Aptitud baja,Aptitud media",Aptitud alta,Aptitud alta,"Aptitud baja,No apta"
499,Antioquia,Jericó,No apta,"Aptitud baja,Exclusión legal",No apta,No apta,"Aptitud alta,No apta"
500,Boyacá,Jericó,"Exclusión legal,No apta",Exclusión legal,"Aptitud baja,No apta","No apta,Aptitud media",No apta
501,Córdoba,Tierralta,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
502,Córdoba,Canalete,Exclusión legal,Aptitud baja,Exclusión legal,Aptitud alta,Exclusión legal
503,Antioquia,Necoclí,No apta,No apta,Exclusión legal,No apta,No apta
504,Antioquia,Pueblorrico,"Aptitud baja,Aptitud alta","Exclusión legal,No apta",Aptitud alta,"Aptitud media,Aptitud alta","No apta,Exclusión legal"
505,Antioquia,San Juan de Urabá,No apta,No apta,Exclusión legal,No apta,No apta
506,Antioquia,Arboletes,No apta,Aptitud media,Exclusión legal,Aptitud alta,No apta
507,Córdoba,Puerto Escondido,No apta,"Aptitud baja,Aptitud media",Exclusión legal,No apta,No apta
508,Antioquia,Briceño,Aptitud alta,"Aptitud baja,No apta","Aptitud baja,Aptitud media","No apta,Aptitud baja","Aptitud baja,Exclusión legal"
509,Boyacá,Briceño,No apta,"Exclusión legal,No apta",Aptitud alta,No apta,"Aptitud media,Exclusión legal"
510,Antioquia,Segovia,No apta,No apta,Exclusión legal,No apta,No apta
511,Antioquia,El Bagre,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal
512,Córdoba,Puerto Libertador,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
513,Bolívar,Santa Rosa del Sur,Aptitud baja,Exclusión legal,Aptitud alta,No apta,Exclusión legal
514,Cundinamarca,Cachipay,No apta,Exclusión legal,No apta,"Aptitud alta,Aptitud media","Aptitud alta,Aptitud media,No apta"
515,Cundinamarca,Funza,Exclusión legal,Exclusión legal,Exclusión legal,No apta,No apta
516,Cundinamarca,Zipacón,"Aptitud alta,Aptitud media",Exclusión legal,"Aptitud baja,Exclusión legal",Aptitud media,"Aptitud alta,Exclusión legal"
517,Cundinamarca,Anolaima,No apta,Exclusión legal,No apta,"Aptitud baja,Aptitud alta","Aptitud alta,Aptitud media"
518,Bolívar,Mompós,Exclusión legal,No apta,Exclusión legal,Exclusión legal,Exclusión legal
519,Córdoba,Lorica,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
520,Córdoba,Momil,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
521,Sucre,Palmito,Exclusión legal,Exclusión legal,Exclusión legal,Aptitud alta,Exclusión legal
522,Bolívar,Talaigua Nuevo,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal
523,Córdoba,San Antero,No apta,Exclusión legal,No apta,No apta,No apta
524,Sucre,Toluviejo,Exclusión legal,Exclusión legal,Exclusión legal,"Aptitud baja,Exclusión legal",Exclusión legal
525,Sucre,Colosó,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
526,Bolívar,Zambrano,No apta,No apta,No apta,Aptitud media,No apta
527,Tolima,Líbano,Aptitud media,"Aptitud baja,No apta",Aptitud alta,Aptitud baja,Aptitud alta
528,Cundinamarca,Subachoque,Exclusión legal,Exclusión legal,Exclusión legal,No apta,No apta
529,Cundinamarca,Supatá,No apta,Exclusión legal,No apta,"Exclusión legal,Aptitud baja","Aptitud alta,No apta"
530,Tolima,Palocabildo,"Aptitud media,Aptitud baja",Exclusión legal,Aptitud alta,No apta,Exclusión legal
531,Tolima,Falan,"No apta,Exclusión legal,Aptitud baja","No apta,Exclusión legal",Aptitud alta,Aptitud media,Exclusión legal
532,Cundinamarca,La Palma,Aptitud media,"Aptitud baja,Exclusión legal",No apta,Aptitud media,"No apta,Exclusión legal"
533,Cundinamarca,Guaduas,No apta,Aptitud baja,No apta,Aptitud media,No apta
534,Caldas,Marquetalia,"Aptitud baja,Exclusión legal",No apta,"Exclusión legal,Aptitud baja",No apta,No apta
535,Cundinamarca,Paime,"No apta,Aptitud media,Aptitud baja",Exclusión legal,No apta,Aptitud media,Exclusión legal
536,Antioquia,Fredonia,"Aptitud baja,Exclusión legal","Aptitud alta,Exclusión legal",No apta,Aptitud media,"Aptitud alta,Aptitud media,No apta"
537,Antioquia,Venecia,"No apta,Aptitud baja","Exclusión legal,Aptitud media",No apta,"Aptitud baja,Exclusión legal",Exclusión legal
538,Cundinamarca,Venecia,No apta,Exclusión legal,Aptitud alta,"No apta,Aptitud baja","No apta,Aptitud media"
539,Antioquia,La Estrella,No apta,Exclusión legal,No apta,No apta,Exclusión legal
540,Antioquia,Marinilla,No apta,Exclusión legal,No apta,No apta,Exclusión legal
541,Antioquia,Peñol,"Aptitud baja,Aptitud media",Exclusión legal,No apta,"Aptitud media,Exclusión legal",Exclusión legal
542,Bolívar,María la Baja,Exclusión legal,"Aptitud baja,Aptitud media",Exclusión legal,No apta,Exclusión legal
543,Antioquia,San Vicente,No apta,Exclusión legal,No apta,"Exclusión legal,Aptitud media",Exclusión legal
544,Bolívar,San Juan Nepomuceno,"No apta,Exclusión legal",No apta,No apta,No apta,"No apta,Exclusión legal"
545,Santander,Simacota,Exclusión legal,Exclusión legal,Aptitud alta,No apta,Exclusión legal
546,Antioquia,Anzá,No apta,"Aptitud media,Aptitud alta",Aptitud alta,No apta,"Aptitud alta,Aptitud baja"
547,Sucre,San Onofre,No apta,Exclusión legal,Exclusión legal,No apta,No apta
548,Magdalena,Zapayán,Exclusión legal,Exclusión legal,Exclusión legal,Aptitud baja,Exclusión legal
549,Magdalena,Sabanas de San Ángel,Exclusión legal,No apta,Exclusión legal,Aptitud media,Exclusión legal
550,Magdalena,Algarrobo,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
551,Atlántico,Repelón,Exclusión legal,Exclusión legal,Exclusión legal,Aptitud media,Exclusión legal
552,Bolívar,Clemencia,Exclusión legal,Exclusión legal,No apta,Aptitud media,Exclusión legal
553,Magdalena,Fundación,No apta,No apta,No apta,No apta,No apta
554,Antioquia,Alejandría,No apta,No apta,Aptitud alta,No apta,No apta
555,Antioquia,Copacabana,"Aptitud media,Exclusión legal",Exclusión legal,No apta,No apta,Aptitud media
556,Antioquia,Girardota,No apta,No apta,"Aptitud media,Exclusión legal",No apta,No apta
557,Antioquia,San Jerónimo,Aptitud media,"Aptitud alta,Aptitud media",No apta,Aptitud media,Aptitud alta
558,Antioquia,Gómez plata,Aptitud media,"Aptitud baja,Aptitud media",No apta,Aptitud media,Exclusión legal
559,Atlántico,Ponedera,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
560,Magdalena,El Retén,No apta,No apta,No apta,No apta,No apta
561,Antioquia,Angostura,No apta,No apta,No apta,Aptitud alta,Aptitud alta
562,Antioquia,Sabanalarga,"Aptitud alta,Exclusión legal",Exclusión legal,Aptitud alta,Aptitud media,"No apta,Aptitud media"
563,Atlántico,Sabanalarga,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
564,Casanare,Sabanalarga,"Aptitud baja,No apta",No apta,No apta,"Aptitud media,Exclusión legal",Exclusión legal
565,Bolívar,Montecristo,No apta,No apta,"Aptitud baja,Aptitud media",No apta,No apta
566,Bolívar,Barranco de Loba,Exclusión legal,Aptitud baja,Exclusión legal,Aptitud baja,Exclusión legal
567,Córdoba,Cereté,Exclusión legal,Exclusión legal,Exclusión legal,"Aptitud baja,Aptitud alta",Exclusión legal
568,Córdoba,Sahagún,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
569,Sucre,San Benito Abad,Exclusión legal,"No apta,Aptitud alta",Exclusión legal,Aptitud media,Exclusión legal
570,Córdoba,Chinú,Exclusión legal,Exclusión legal,Exclusión legal,No apta,Exclusión legal
571,Cundinamarca,Cota,"Aptitud baja,Aptitud media",Exclusión legal,Exclusión legal,No apta,No apta
572,Cundinamarca,Guatavita,No apta,Exclusión legal,Exclusión legal,No apta,No apta
573,Boyacá,Almeida,"Aptitud alta,Aptitud baja",Exclusión legal,Aptitud alta,"Aptitud baja,Aptitud media",No apta
574,Boyacá,Soracá,"Exclusión legal,Aptitud alta",Exclusión legal,"No apta,Exclusión legal",Aptitud alta,No apta
575,Boyacá,Siachoque,Aptitud alta,"No apta,Exclusión legal",No apta,Aptitud media,"Exclusión legal,Aptitud alta"
576,Boyacá,Cucaita,"Exclusión legal,Aptitud alta",Exclusión legal,Exclusión legal,Aptitud media,No apta
577,Casanare,Yopal,Exclusión legal,No apta,Aptitud baja,Aptitud alta,Exclusión legal
578,Boyacá,Guacamayas,No apta,Exclusión legal,"Exclusión legal,Aptitud alta","Aptitud alta,Exclusión legal","Aptitud media,Exclusión legal"
579,Santander,Socorro,Aptitud media,"Exclusión legal,No apta",No apta,No apta,"No apta,Exclusión legal"
580,Boyacá,Cubará,No apta,"Aptitud alta,Exclusión legal",No apta,No apta,No apta
581,Boyacá,Panqueba,No apta,No apta,No apta,No apta,Aptitud media
582,Santander,Landázuri,Exclusión legal,Exclusión legal,"Aptitud media,Exclusión legal",No apta,Exclusión legal
583,Santander,California,"No apta,Aptitud media",Exclusión legal,"Aptitud baja,Aptitud media",Aptitud media,No apta
584,Norte de Santander,Pamplona,"Aptitud media,Aptitud alta","No apta,Exclusión legal",Aptitud alta,Aptitud alta,No apta
585,Norte de Santander,Villa del Rosario,"Aptitud media,Aptitud baja",No apta,No apta,"Exclusión legal,Aptitud media",No apta
586,Cesar,Gamarra,Exclusión legal,Aptitud alta,Exclusión legal,Aptitud media,Exclusión legal
587,Santander,Piedecuesta,No apta,No apta,No apta,No apta,No apta
588,Santander,Suratá,No apta,Exclusión legal,Aptitud alta,Aptitud media,No apta
589,Cesar,Pailitas,Exclusión legal,"Aptitud baja,Aptitud alta",Aptitud alta,Aptitud baja,Exclusión legal
590,Vichada,La Primavera,No apta,Aptitud baja,Exclusión legal,Aptitud media,No apta
591,Cauca,Miranda,Aptitud alta,No apta,No apta,No apta,Exclusión legal
592,Cesar,Valledupar,Exclusión legal,"Aptitud baja,Aptitud media",Aptitud alta,No apta,Exclusión legal
593,La Guajira,Uribia,No apta,No apta,Exclusión legal,No apta,No apta
594,Putumayo,San Miguel (La Dorada),No apta,No apta,Exclusión legal,No apta,No apta
595,Nariño,Potosí,No apta,No apta,Exclusión legal,Aptitud alta,"Aptitud media,Exclusión legal"
596,Putumayo,Puerto Caicedo,Exclusión legal,Aptitud baja,Exclusión legal,No apta,Exclusión legal
597,Nariño,Cuaspud (Carlosama),No apta,"No apta,Exclusión legal",Exclusión legal,No apta,No apta
598,Nariño,Puerres,"Aptitud baja,Exclusión legal",Exclusión legal,No apta,No apta,No apta
599,Putumayo,Villagarzón,Exclusión legal,"Aptitud baja,Aptitud alta",Exclusión legal,Aptitud baja,Exclusión legal
600,Nariño,Imués,Aptitud alta,Exclusión legal,No apta,No apta,Aptitud alta
601,Putumayo,Orito,No apta,No apta,No apta,No apta,No apta
602,Nariño,Guachucal,Exclusión legal,Exclusión legal,Exclusión legal,"Aptitud alta,Exclusión legal",No apta
603,Nariño,Gualmatán,"Aptitud baja,Exclusión legal",No apta,Exclusión legal,No apta,No apta
604,Nariño,Aldana,Exclusión legal,Exclusión legal,No apta,No apta,No apta
605,Nariño,Túquerres,"Aptitud baja,No apta",Exclusión legal,No apta,No apta,No apta
606,Nariño,Pupiales,No apta,No apta,"Exclusión legal,No apta",No apta,No apta
607,Nariño,Iles,No apta,Exclusión legal,"Aptitud alta,Exclusión legal",No apta,"Exclusión legal,Aptitud alta"
608,Nariño,Yacuanquer,"Aptitud alta,Aptitud media",Exclusión legal,"Aptitud baja,Exclusión legal",Aptitud media,"Aptitud media,Exclusión legal"
609,Caquetá,Solita,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
610,Nariño,Tangua,Aptitud media,Exclusión legal,Aptitud alta,No apta,No apta
611,Nariño,Ospina,"Aptitud media,Aptitud alta",Exclusión legal,"Aptitud baja,Exclusión legal","No apta,Aptitud alta",No apta
612,Nariño,Sapuyes,"Exclusión legal,No apta","No apta,Exclusión legal",Exclusión legal,No apta,No apta
613,Nariño,Consacá,No apta,"Aptitud baja,No apta",Aptitud alta,"Aptitud media,Aptitud alta","Aptitud media,Aptitud baja"
614,Caquetá,Curillo,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
615,Nariño,Providencia,Aptitud media,Exclusión legal,Aptitud alta,Aptitud media,Aptitud media
616,Nariño,Nariño,"Aptitud media,Aptitud alta",Exclusión legal,Aptitud alta,Aptitud media,"Aptitud media,Aptitud alta"
617,Cundinamarca,Nariño,"Exclusión legal,No apta","Exclusión legal,No apta",Exclusión legal,No apta,"No apta,Exclusión legal"
618,Antioquia,Nariño,Exclusión legal,"Aptitud alta,Aptitud media",No apta,Exclusión legal,Exclusión legal
619,Tolima,San Antonio,"Aptitud alta,Exclusión legal",Exclusión legal,Aptitud alta,Aptitud media,Aptitud media
620,Nariño,Sandoná,"Aptitud baja,Exclusión legal",Exclusión legal,Aptitud alta,"Aptitud alta,Aptitud baja",Aptitud media
621,Nariño,Ancuyá,Aptitud media,"Aptitud baja,Exclusión legal",Aptitud alta,No apta,"No apta,Aptitud media"
622,Caquetá,Milán,Exclusión legal,Aptitud media,Exclusión legal,No apta,Exclusión legal
623,Tolima,Roncesvalles,Exclusión legal,Exclusión legal,"Aptitud media,Aptitud baja",No apta,No apta
624,Caquetá,Valparaíso,Exclusión legal,No apta,Exclusión legal,No apta,Exclusión legal
625,Antioquia,Valparaíso,"Aptitud baja,Aptitud media","Aptitud media,Exclusión legal",Aptitud alta,Aptitud media,"Aptitud media,Exclusión legal,No apta"
626,Nariño,Linares,"Aptitud media,Aptitud alta",Aptitud baja,Aptitud alta,Aptitud media,No apta
627,Nariño,Chachagüí,"Exclusión legal,Aptitud baja",No apta,Aptitud alta,Aptitud media,"Aptitud alta,No apta"
628,Nariño,El Peñol,"Aptitud baja,Exclusión legal,Aptitud alta","Aptitud baja,No apta",Aptitud alta,Aptitud media,Exclusión legal
629,Santander,Guavatá,No apta,"Exclusión legal,No apta",No apta,Aptitud alta,"No apta,Exclusión legal"
630,Cesar,El Copey,No apta,"Aptitud baja,Aptitud media",No apta,No apta,No apta
631,Caquetá,Belén de los Andaquíes,Exclusión legal,Aptitud media,No apta,No apta,Exclusión legal
632,Nariño,Taminango,"Aptitud alta,No apta","No apta,Aptitud media",Aptitud alta,"Aptitud media,Aptitud alta",Exclusión legal
633,Caquetá,Montañita,Exclusión legal,Aptitud baja,Aptitud alta,No apta,Exclusión legal
634,Nariño,Cumbitara,No apta,No apta,No apta,No apta,No apta
635,Huila,Elías,"Aptitud media,Exclusión legal","No apta,Aptitud alta",Aptitud alta,Aptitud media,Exclusión legal
636,Nariño,Leiva,"Exclusión legal,Aptitud media",No apta,Aptitud alta,"Aptitud baja,Aptitud alta",No apta
637,Huila,Agrado,Aptitud media,Aptitud baja,Aptitud alta,Aptitud media,Exclusión legal
638,Nariño,Francisco Pizarro (Salahonda),No apta,No apta,"No apta,Exclusión legal","Aptitud media,Aptitud alta",No apta
639,Huila,La Argentina,"Aptitud baja,Exclusión legal",No apta,Aptitud alta,No apta,"Aptitud baja,Aptitud media"
640,Caquetá,El Paujil,Exclusión legal,No apta,Aptitud alta,No apta,Exclusión legal
641,Caquetá,El Doncello,Exclusión legal,Aptitud baja,Aptitud alta,No apta,Exclusión legal
642,Cauca,Guapi,No apta,Aptitud baja,Exclusión legal,Exclusión legal,No apta
643,Nariño,Olaya Herrera (Bocas de Satinga),Exclusión legal,Aptitud media,Exclusión legal,Exclusión legal,Exclusión legal
644,Huila,Hobo,Aptitud baja,"Aptitud media,Exclusión legal",Aptitud alta,Aptitud baja,Exclusión legal
645,Nariño,La Tola,"Exclusión legal,No apta",Aptitud media,Exclusión legal,"No apta,Exclusión legal","Exclusión legal,No apta"
646,Tolima,Ataco,Aptitud alta,Aptitud media,Aptitud alta,No apta,Exclusión legal
647,Huila,Campoalegre,Aptitud baja,No apta,Aptitud alta,Aptitud media,Exclusión legal
648,Huila,Yaguará,Exclusión legal,"No apta,Aptitud media",Exclusión legal,Aptitud media,Exclusión legal
649,Valle del Cauca,Palmira,Exclusión legal,Exclusión legal,No apta,No apta,Exclusión legal
650,Tolima,Dolores,"No apta,Aptitud baja","No apta,Aptitud baja,Aptitud media",Aptitud alta,"No apta,Aptitud alta",Exclusión legal
651,Valle del Cauca,Vijes,"Aptitud alta,No apta",No apta,No apta,"Aptitud media,No apta",No apta
652,Huila,Íquira,No apta,No apta,Aptitud alta,No apta,No apta
653,Valle del Cauca,Yotoco,"Exclusión legal,No apta",No apta,No apta,Aptitud alta,Exclusión legal
654,Huila,Rivera,"Aptitud baja,No apta",No apta,Aptitud alta,Aptitud media,Exclusión legal
655,Quindío,Génova,No apta,No apta,Aptitud alta,No apta,No apta
656,Cauca,Caloto,Aptitud media,"Aptitud baja,Exclusión legal",Aptitud alta,No apta,Exclusión legal
657,Valle del Cauca,El Cerrito,Exclusión legal,No apta,No apta,No apta,"Aptitud media,Aptitud alta"
658,Boyacá,Coper,Aptitud media,"Exclusión legal,No apta",Aptitud alta,Aptitud baja,Aptitud alta
659,Valle del Cauca,Ginebra,No apta,"Aptitud media,Exclusión legal",No apta,"Aptitud alta,Exclusión legal",No apta
660,Cauca,López,No apta,Exclusión legal,Exclusión legal,Exclusión legal,No apta
661,Valle del Cauca,Roldanillo,Aptitud alta,Exclusión legal,No apta,No apta,Exclusión legal
662,Valle del Cauca,Florida,Exclusión legal,Exclusión legal,No apta,"Aptitud alta,Aptitud baja",Exclusión legal
663,Huila,Tello,"Aptitud alta,Exclusión legal",No apta,Aptitud alta,Aptitud media,Exclusión legal
664,Cauca,Buenos Aires,Aptitud media,"Aptitud media,No apta",Aptitud alta,Aptitud media,Exclusión legal
665,Cauca,Guachene,Exclusión legal,No apta,"No apta,Aptitud baja",No apta,Exclusión legal
666,Norte de Santander,Herrán,No apta,No apta,Aptitud alta,No apta,No apta
667,Valle del Cauca,Candelaria,Exclusión legal,No apta,Exclusión legal,Exclusión legal,Exclusión legal
668,Atlántico,Candelaria,Exclusión legal,Exclusión legal,Exclusión legal,Aptitud media,Exclusión legal
669,Tolima,Alpujarra,No apta,"Aptitud baja,No apta",Aptitud alta,Exclusión legal,Exclusión legal
670,Santander,Santa Bárbara,"Aptitud baja,Exclusión legal",Exclusión legal,Aptitud alta,"Aptitud alta,Aptitud media","Aptitud media,Exclusión legal"
671,Antioquia,Santa Bárbara,No apta,No apta,No apta,"No apta,Aptitud media",Aptitud media
672,Huila,Villavieja,Exclusión legal,Exclusión legal,"No apta,Exclusión legal",Aptitud baja,Exclusión legal
673,Tolima,Natagaima,Exclusión legal,Aptitud baja,Aptitud alta,No apta,Exclusión legal
674,Arauca,Tame,No apta,No apta,No apta,No apta,No apta
675,Tolima,Prado,Exclusión legal,Aptitud alta,Aptitud alta,Aptitud baja,Exclusión legal
676,Tolima,Coyaima,Exclusión legal,Aptitud baja,Aptitud alta,Aptitud media,Exclusión legal
677,Valle del Cauca,Guacarí,Exclusión legal,No apta,No apta,Aptitud alta,Exclusión legal
678,Valle del Cauca,La Cumbre,Exclusión legal,Exclusión legal,No apta,No apta,Exclusión legal
679,Tolima,Villarrica,Aptitud baja,Exclusión legal,Aptitud alta,Exclusión legal,Exclusión legal
680,Tolima,Saldaña,Exclusión legal,"Aptitud media,Exclusión legal",Exclusión legal,Aptitud baja,Exclusión legal
681,Tolima,Purificación,Exclusión legal,No apta,Aptitud alta,No apta,Exclusión legal
682,Quindío,Armenia,No apta,No apta,No apta,No apta,No apta
683,Antioquia,Armenia,Aptitud baja,Aptitud alta,"Aptitud baja,Aptitud media",No apta,Exclusión legal
684,Valle del Cauca,Riofrío,"Aptitud alta,Aptitud media",No apta,No apta,No apta,No apta
685,Tolima,Ortega,"Aptitud baja,Exclusión legal",Aptitud media,Aptitud alta,No apta,Exclusión legal
686,Valle del Cauca,Andalucía,"Aptitud media,No apta",Exclusión legal,No apta,No apta,Exclusión legal
687,Cundinamarca,Pandi,"Aptitud baja,Aptitud alta,Exclusión legal","Exclusión legal,No apta",No apta,No apta,"No apta,Exclusión legal"
688,Tolima,Carmen de Apicalá,Exclusión legal,Aptitud media,Exclusión legal,"Aptitud alta,Aptitud media",Exclusión legal
689,Tolima,Espinal,Exclusión legal,"Aptitud baja,No apta",Exclusión legal,"Aptitud alta,Exclusión legal",Exclusión legal
